test_id,title,feature_id,category,dependency_group,condition,runs,passed_runs
T-012-02,🔴 異常系: 承認済み申請の取り消し不可,F-012,negative,downstream_threshold,normal,10,10
T-013-01,🟢 正常系: 差し戻し申請の再提出,F-013,normal,downstream_threshold,anti,10,0
T-013-01,🟢 正常系: 差し戻し申請の再提出,F-013,normal,downstream_threshold,normal,10,0
T-013-02,🔴 異常系: 不正なステータス遷移,F-013,negative,downstream_threshold,anti,10,0
T-013-02,🔴 異常系: 不正なステータス遷移,F-013,negative,downstream_threshold,normal,10,10
T-014-01,🟢 正常系: 申請提出時の承認者へのメール通知,F-014,normal,downstream_threshold,anti,10,0
T-014-01,🟢 正常系: 申請提出時の承認者へのメール通知,F-014,normal,downstream_threshold,normal,10,8
T-014-02,🟢 正常系: 承認完了時の申請者へのメール通知,F-014,normal,downstream_threshold,anti,10,0
T-014-02,🟢 正常系: 承認完了時の申請者へのメール通知,F-014,normal,downstream_threshold,normal,10,10
T-015-01,🟢 正常系: 承認履歴の表示,F-015,normal,downstream_threshold,anti,10,0
T-015-01,🟢 正常系: 承認履歴の表示,F-015,normal,downstream_threshold,normal,10,0
T-016-01,🟢 正常系: CSVエクスポート,F-016,normal,other,anti,10,0
T-016-01,🟢 正常系: CSVエクスポート,F-016,normal,other,normal,10,0
T-016-02,🟢 正常系: 検索条件を絞り込んだCSVエクスポート,F-016,normal,other,anti,10,3
T-016-02,🟢 正常系: 検索条件を絞り込んだCSVエクスポート,F-016,normal,other,normal,10,4
T-016-03,🔴 異常系: 一般ユーザーによるCSVエクスポート権限エラー,F-016,negative,other,anti,10,8
T-016-03,🔴 異常系: 一般ユーザーによるCSVエクスポート権限エラー,F-016,negative,other,normal,10,10
T-017-01,🟢 正常系: 一般ユーザーのダッシュボード表示,F-017,normal,other,anti,10,3
T-017-01,🟢 正常系: 一般ユーザーのダッシュボード表示,F-017,normal,other,normal,10,0
T-017-02,🟢 正常系: 課長のダッシュボード表示,F-017,normal,other,anti,10,3
T-017-02,🟢 正常系: 課長のダッシュボード表示,F-017,normal,other,normal,10,3
T-018-01,🟢 正常系: ユーザー情報編集,F-018,normal,other,anti,10,7
T-018-01,🟢 正常系: ユーザー情報編集,F-018,normal,other,normal,10,9
T-018-02,🔴 異常系: 自分自身の無効化エラー,F-018,negative,other,anti,10,8
T-018-02,🔴 異常系: 自分自身の無効化エラー,F-018,negative,other,normal,10,10
T-018-03,🔴 異常系: 一般ユーザーによるユーザー管理アクセス拒否,F-018,negative,other,anti,10,9
T-018-03,🔴 異常系: 一般ユーザーによるユーザー管理アクセス拒否,F-018,negative,other,normal,10,10
T-019-01,🟢 正常系: パスワード変更成功,F-019,normal,other,anti,10,4
T-019-01,🟢 正常系: パスワード変更成功,F-019,normal,other,normal,10,6
T-019-02,🔴 異常系: 現在のパスワード不一致エラー,F-019,negative,other,anti,10,9
T-019-02,🔴 異常系: 現在のパスワード不一致エラー,F-019,negative,other,normal,10,10
T-019-03,🔴 異常系: 同一パスワード設定エラー,F-019,negative,other,anti,10,9
T-019-03,🔴 異常系: 同一パスワード設定エラー,F-019,negative,other,normal,10,10
T-020-01,🟢 正常系: システム設定の変更,F-020,normal,other,anti,10,7
T-020-01,🟢 正常系: システム設定の変更,F-020,normal,other,normal,10,8
T-020-02,🟢 正常系: SMTPテスト送信,F-020,normal,other,anti,10,9
T-020-02,🟢 正常系: SMTPテスト送信,F-020,normal,other,normal,10,10
T-020-03,🔴 異常系: セッションタイムアウト範囲外エラー,F-020,negative,other,anti,10,7
T-020-03,🔴 異常系: セッションタイムアウト範囲外エラー,F-020,negative,other,normal,10,8
T-020-04,🔴 異常系: 一般ユーザーによるシステム設定アクセス拒否,F-020,negative,other,anti,10,8
T-020-04,🔴 異常系: 一般ユーザーによるシステム設定アクセス拒否,F-020,negative,other,normal,10,5
